id,title,writer,genre,total_epi,labeled
1099148,전생했더니 신입사원 : 네이버웹소설,대나무집,현판,223,False
1108688,대본 냄새가 나 : 네이버웹소설,여우별,현판,132,False
1108690,망나니 검사가 달라졌다 : 네이버웹소설,안현,현판,132,False
1086225,나 혼자만 모든 직업 : 네이버웹소설,재시작,현판,314,False
1102257,만능장교 성공기 : 네이버웹소설,제이로빈,현판,137,False
1055007,멸망한 세계의 검성 : 네이버웹소설,정훈,현판,239,True
1105619,득템왕 : 네이버웹소설,더블류K,현판,164,False
1119799,해양재벌 강태준 : 네이버웹소설,별그림자,현판,37,False
1102258,이레귤러는 괴물을 먹는다 : 네이버웹소설,922,현판,195,False
1113885,기생초 : 네이버웹소설,만신,현판,103,False
1117114,완벽한 좀비가 되는 방법 : 네이버웹소설,안밀,현판,72,False
1012544,사신빙의 : 네이버웹소설,이루성,무협,331,True
1083227,천검지애 : 네이버웹소설,북미혼,무협,346,False
1077050,사부님들이 구독 중 : 네이버웹소설,흑야,무협,404,False
1062251,종남검성 : 네이버웹소설,자우,무협,212,False
1108689,무명 식객 : 네이버웹소설,무도쟁이,무협,132,False
1113887,소상단에 간 천마 : 네이버웹소설,손님온다,무협,103,False
1117115,천씨세가의 망나니가 되었다 : 네이버웹소설,백몽(白夢),무협,72,False
1125134,화무십일홍(花無十日紅) : 네이버웹소설,동련,무협,11,False
1125133,마교의 제자가 반로환동했던 것에 대한 기록 : 네이버웹소설,오일제,무협,11,False
